epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,406.433,0.57946,0.39662,0.82673,0.95998,0.97248,0.96555,0.83556,0.50498,0.38193,0.83981,0.00030808,0.00030808,0.00030808
75,411.885,0.5762,0.39908,0.8244,0.96572,0.9668,0.96733,0.8498,0.49275,0.37675,0.84128,0.000297081,0.000297081,0.000297081
76,417.312,0.57027,0.39613,0.83,0.96693,0.9667,0.96775,0.84883,0.48468,0.38321,0.84111,0.000286083,0.000286083,0.000286083
77,422.755,0.56841,0.39682,0.82737,0.96646,0.96133,0.96833,0.83531,0.51042,0.39149,0.84474,0.000275084,0.000275084,0.000275084
78,428.201,0.55841,0.39065,0.83381,0.96822,0.95522,0.96909,0.84244,0.49449,0.39553,0.84362,0.000264085,0.000264085,0.000264085
79,433.635,0.58148,0.4026,0.82384,0.981,0.95338,0.97095,0.84078,0.50171,0.38796,0.84174,0.000253086,0.000253086,0.000253086
80,439.043,0.54466,0.37936,0.81914,0.96677,0.96246,0.96976,0.84933,0.47457,0.37323,0.84204,0.000242087,0.000242087,0.000242087
81,444.474,0.56281,0.37466,0.82302,0.96596,0.9569,0.96812,0.84845,0.47566,0.37858,0.84228,0.000231088,0.000231088,0.000231088
82,449.885,0.54297,0.37858,0.82099,0.96878,0.96025,0.96972,0.85395,0.47157,0.37218,0.84201,0.000220089,0.000220089,0.000220089
83,455.362,0.55117,0.38224,0.82685,0.9562,0.96181,0.9695,0.8574,0.47127,0.37511,0.84141,0.00020909,0.00020909,0.00020909
84,460.842,0.55126,0.38579,0.83096,0.96927,0.96009,0.96948,0.85524,0.46777,0.36969,0.84132,0.000198091,0.000198091,0.000198091
85,466.29,0.55773,0.38513,0.82175,0.96677,0.95977,0.96603,0.84629,0.47315,0.36875,0.83714,0.000187092,0.000187092,0.000187092
86,471.741,0.55412,0.38062,0.82205,0.97471,0.95052,0.9666,0.84698,0.47679,0.37646,0.83795,0.000176094,0.000176094,0.000176094
87,477.177,0.53781,0.3783,0.82378,0.9739,0.94725,0.96668,0.84539,0.47385,0.37174,0.83815,0.000165095,0.000165095,0.000165095
88,482.594,0.52182,0.36339,0.81657,0.96893,0.95513,0.96725,0.85536,0.46412,0.36026,0.83714,0.000154096,0.000154096,0.000154096
89,488.042,0.52664,0.36144,0.81239,0.96553,0.96255,0.96662,0.84563,0.47663,0.37175,0.8378,0.000143097,0.000143097,0.000143097
90,493.479,0.53871,0.37103,0.82738,0.97489,0.95321,0.96731,0.8519,0.46627,0.37003,0.83997,0.000132098,0.000132098,0.000132098
91,499.811,0.50861,0.35572,0.81293,0.96733,0.94718,0.96498,0.84023,0.49374,0.38191,0.84396,0.000121099,0.000121099,0.000121099
92,505.173,0.50007,0.34839,0.81384,0.96998,0.94892,0.966,0.84963,0.47855,0.37658,0.8441,0.0001101,0.0001101,0.0001101
93,510.558,0.47438,0.33262,0.80159,0.97019,0.94878,0.96572,0.85059,0.46677,0.37124,0.84067,9.91012e-05,9.91012e-05,9.91012e-05
94,515.935,0.47516,0.33619,0.81283,0.96491,0.94238,0.96407,0.84847,0.46472,0.37929,0.84212,8.81023e-05,8.81023e-05,8.81023e-05
95,521.331,0.47009,0.33451,0.80459,0.96929,0.94404,0.96498,0.84791,0.46359,0.3731,0.84058,7.71034e-05,7.71034e-05,7.71034e-05
96,526.702,0.46957,0.32812,0.80391,0.95676,0.95937,0.96539,0.85194,0.47202,0.37018,0.83899,6.61045e-05,6.61045e-05,6.61045e-05
97,532.074,0.4623,0.32184,0.80978,0.95784,0.96022,0.96516,0.84759,0.4708,0.37634,0.84,5.51056e-05,5.51056e-05,5.51056e-05
98,537.441,0.45389,0.32208,0.806,0.96347,0.95286,0.96573,0.84796,0.46731,0.37632,0.84004,4.41067e-05,4.41067e-05,4.41067e-05
99,542.821,0.46331,0.32343,0.8045,0.96979,0.94682,0.96627,0.85074,0.46482,0.37065,0.83841,3.31078e-05,3.31078e-05,3.31078e-05
100,548.212,0.45948,0.32127,0.80743,0.97131,0.94625,0.96599,0.85155,0.45896,0.36714,0.8387,2.21089e-05,2.21089e-05,2.21089e-05
